type,id,nr,name,city
"station","8000601","174","Bad Münstereifel Arloff","Bad-Münstereifel"
"station","8000603","176","Arnbach","Schwabhausen"
"station","8000599","173","Arfurt (Lahn)","Runkel"
"station","8011054","172","Arenshausen","Arenshausen"
"station","8000566","134","Amberg","Amberg"
"station","8000606","178","Arnschwang","Arnschwang"
"station","8000602","175","Armsheim","Armsheim"
"station","8000611","184","Arsbeck","Wegberg"
"station","8000613","186","Arzberg (Oberfr)","Arzberg (Oberfr)"
"station","8010006","179","Arnsdorf (b Dresden)","Arnsdorf"
"station","8012440","185","Artern","Artern"
"station","8000605","177","Arnsberg (Westf)","Arnsberg"
"station","8000621","190","Aschau (Chiemgau)","Aschau "
"station","8011055","181","Arnstadt Süd","Arnstadt"
"station","8000623","192","Ascheberg (Westf)","Ascheberg"
"station","8010007","180","Arnstadt Hbf","Arnstadt"
"station","8000624","193","Aschendorf","Papenburg"
"station","8000627","195","Ashausen","Stelle"
"station","8000011","191","Ascheberg (Holst)","Ascheberg (Holstein)"
"station","8000633","199","Aßlar","Aßlar"
"station","8000632","198","Assenheim (Oberhess)","Niddatal"
"station","8000625","197","Asselheim","Grünstadt"
"station","8000634","200","Aßling (Oberbay)","Aßling "
"station","8000635","201","Assmannshausen","Rüdesheim am Rhein"
"station","8010009","194","Aschersleben Pbf","Aschersleben"
"station","8000630","196","Asperg","Asperg"
"station","8000638","202","Attendorn","Attendorn"
"station","8000647","207","Aue-Wingeshausen","Bad Berleburg"
"station","8000012","204","Au (Sieg)","Windeck"
"station","8011057","208","Auehütte","Schmalkalden"
"station","8010011","211","Auerbach (Vogtl) ob Bf","Auerbach "
"station","8000649","209","Auerbach (b Mosbach)","Elztal-Auerbach"
"station","8011059","210","Auerbach (Vogtl) Hp","Auerbach "
"station","8000619","188","Aschaffenburg Süd","Aschaffenburg"
"station","8000651","213","Auersmacher","Kleinblittersdorf"
"station","8010012","212","Auerbach (Vogtl) unt Bf","Auerbach "
"station","8000653","216","Aufhausen (b Erding)","Erding"
"station","8000655","217","Aufhausen (Württ)","Bopfingen"
"station","8000657","218","Auggen","Auggen"
"station","8089003","203","Attilastraße","Berlin"
"station","8000660","222","Augsburg Morellstraße","Augsburg"
"station","8000664","225","Augustfehn","Apen"
"station","8000668","228","Aumenau","Villmar"
"station","8000014","226","Aulendorf","Aulendorf"
"station","8000669","229","Aumühle","Aumühle"
"station","8000672","231","Außenried","Langdorf"
"station","8000009","161","Ansbach","Ansbach"
"station","8000674","232","Auw an der Kyll","Auw an der Kyll"
"station","8000675","233","Aying","Aying"
"station","8000658","219","Augsburg Haunstetterstraße","Augsburg"
"station","8000662","224","Augsburg-Oberhausen","Augsburg"
"station","8010013","236","Baalberge","Baalberge"
"station","8000671","230","Auringen-Medenbach","Wiesbaden"
"station","8000681","239","Babstadt","Bad Rappenau"
"station","8001732","234","Eiswoog","Ramsen"
"station","8000685","241","Bachern","Bergkirchen"
"station","8000661","223","Augsburg-Hochzoll","Augsburg"
"station","8000677","235","Hückelhoven-Baal","Hückelhoven-Baal"
"station","8011065","242","Bachfeld","Bachfeld"
"station","8000689","245","Bad Abbach","Bad Abbach"
"station","8000683","240","Bacharach","Bacharach"
"station","8000690","246","Bad Aibling","Bad Aibling"
"station","8000686","243","Bachheim","Löffingen"
"station","8011066","249","Bad Berka","Bad Berka"
"station","8000879","248","Bad Bentheim","Bad Bentheim"
"station","8000907","251","Bad Berleburg","Bad Berleburg"
"station","8011155","53","Alexanderplatz","Berlin"
"station","8000015","238","Babenhausen (Hess)","Babenhausen"
"station","8000935","253","Bad Bevensen","Bad Bevensen"
"station","8000864","247","Bad Bellingen","Bad Bellingen"
"station","8011068","258","Bad Brambach","Bad Brambach"
"station","8010014","256","Bad Blankenburg (Thüringerw)","Bad Blankenburg (Thür)"
"station","8001049","257","Bad Bodendorf","Sinzig"
"station","8011029","263","Ammern","Mühlhausen (Thür)"
"station","8000697","264","Bad Driburg (Westf)","Bad Driburg"
"station","8001322","261","Bad Camberg","Bad Camberg"
"station","8080070","237","Babelsberg","Potsdam"
"station","8000708","267","Bad Dürkheim-Trift","Bad Dürkheim"
"station","8000694","259","Bad Breisig","Bad Breisig"
"station","8010016","262","Bad Doberan","Bad Doberan"
"station","8011072","269","Bad Elster","Bad Elster"
"station","8000702","272","Bad Ems West","Bad Ems"
"station","8000701","271","Bad Ems","Bad Ems"
"station","8000698","266","Bad Dürkheim","Bad Dürkheim"
"station","8011071","268","Bad Dürrenberg","Bad Dürrenberg"
"station","8010017","276","Bad Freienwalde (Oder)","Bad Freienwalde"
"station","8001787","274","Bad Endorf (Oberbay)","Bad Endorf "
"station","8000707","280","Bad Griesbach","Bad Griesbach"
"station","8000352","279","Bad Gandersheim","Bad Gandersheim"
"station","8000016","244","Backnang","Backnang"
"station","8000704","278","Bad Friedrichshall-Kochendorf","Bad Friedrichshall"
"station","8000010","187","Aschaffenburg Hbf","Aschaffenburg"
"station","8003182","287","Bad Karlshafen","Bad Karlshafen"
"station","8000711","286","Bad Hönningen","Bad Hönningen"
"station","8000716","290","Bad Kohlgrub","Bad Kohlgrub"
"station","8000714","288","Bad Kissingen","Bad Kissingen"
"station","8000017","277","Bad Friedrichshall Hbf","Bad Friedrichshall"
"station","8000019","281","Bad Harzburg","Bad Harzburg"
"station","8010018","289","Bad Kleinen","Bad Kleinen"
"station","8011074","295","Bad Köstritz","Bad Köstritz"
"station","8000713","285","Bad Honnef (Rhein)","Bad Honnef"
"station","8000715","292","Bad König","Bad König"
"station","8000717","291","Bad Kohlgrub Kurhaus","Bad Kohlgrub"
"station","8010019","294","Bad Kösen","Bad Kösen"
"station","8000721","304","Bad Liebenzell","Bad Liebenzell"
"station","8010020","298","Bad Langensalza","Bad Langensalza"
"station","8011078","303","Bad Liebenwerda","Bad Liebenwerda"
"station","8000725","306","Bad Münder (Deister)","Bad Münder am Deister"
"station","8011077","301","Bad Lausick","Bad Lausick"
"station","8000020","282","Bad Hersfeld","Bad Hersfeld"
