,EVA_NR,DS100,IFOPT,db_name,traffic,operator_name,operator_nr,status,distance,formatted,lat,lon,housenumber,name,street,postcode,district,suburb,county,state,state_code,city,country,country_code,attribution,attribution_license,attribution_url
1317,8001901,EEBE,de:05113:9150,Essen-Bergeborbeck,RV,DB Station und Service AG,1695,,0,Essen-Bergeborbeck Zipfelweg 45356 Essen Germany,51.480418900000004,6.976913199083155,,Essen-Bergeborbeck,Zipfelweg,45356,Stadtbezirk IV,Bochold,,North Rhine-Westphalia,,Essen,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1318,8001902,EEBB,de:05113:9158,Essen-Borbeck,RV,DB Station und Service AG,1696,,0,Essen-Borbeck Marktstraﬂe 45355 Essen Germany,51.47332375,6.948245922945536,,Essen-Borbeck,Marktstraﬂe,45355,Stadtbezirk IV,Borbeck-Mitte,,North Rhine-Westphalia,,Essen,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1319,8001903,EEDL,de:05113:9197,Essen-Dellwig,RV,DB Station und Service AG,1698,,2.3828470580641765,Essen-Dellwig 45357 Essen Germany,51.48793644,6.9220211,,Essen-Dellwig,Essen-Dellwig,45357,Stadtbezirk IV,Dellwig,,North Rhine-Westphalia,,Essen,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
1320,8001904,EEDO,de:05113:9198,Essen-Dellwig Ost,RV,DB Station und Service AG,1699,,2.3601469561740416,Essen-Dellwig Ost Blitzstraﬂe 45357 Essen Germany,51.487592899999996,6.927120855291744,,Essen-Dellwig Ost,Blitzstraﬂe,45357,Stadtbezirk IV,Dellwig,,North Rhine-Westphalia,,Essen,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1321,8001905,EEIB,de:05113:9213,Essen-Eiberg,RV,DB Station und Service AG,1700,,3.2759804245865762,Essen-Eiberg Sachsenring 45279 Essen Germany,51.44157535,7.108277803158796,,Essen-Eiberg,Sachsenring,45279,Stadtbezirk VII,Horst,,North Rhine-Westphalia,,Essen,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1322,8001906,EEFO,de:05113:9244,Essen-Frohnhausen,RV,DB Station und Service AG,1701,,5.858147950263052,Essen-Frohnhausen Schwaigerstraﬂe 45144 Essen Germany,51.455031399999996,6.965265055378685,,Essen-Frohnhausen,Schwaigerstraﬂe,45144,Stadtbezirk III,Frohnhausen,,North Rhine-Westphalia,,Essen,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1323,8001907,EEGE,de:05113:9255,Essen-Gerschede,RV,DB Station und Service AG,1702,,2.645696162316789,Essen-Gerschede 45355 Essen Germany,51.483049,6.943277,,Essen-Gerschede,,45355,Essen,,Essen,North Rhine-Westphalia,,Essen,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyrightnan
1324,8001908,EEHU,de:05113:9074,Essen-H¸gel,RV,DB Station und Service AG,1705,,43.39280729876424,Freiherr-vom-Stein-Str. 211 45133 Essen Germany,51.404285,7.008764,211,,Freiherr-vom-Stein-Str.,45133,Essen,,Essen,North Rhine-Westphalia,,Essen,Germany,de,© OpenAddresses contributors,BSD-3-Clause License,nan
1325,8001909,EEKB,de:05113:9375,Essen-Zollverein Nord,RV,DB Station und Service AG,1706,,0,Essen-Zollverein Nord Kˆln-Mindener-Straﬂe 45327 Essen Germany,51.49339385,7.0457447686167445,,Essen-Zollverein Nord,Kˆln-Mindener-Straﬂe,45327,Stadtbezirk VI,Katernberg,,North Rhine-Westphalia,,Essen,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1326,8001910,EEKN,de:05113:9404,Essen-Kray Nord,RV,DB Station und Service AG,1707,,0,Essen-Kray Nord Heinrich-Sense-Weg 45307 Essen Germany,51.4694437,7.080421605263158,,Essen-Kray Nord,Heinrich-Sense-Weg,45307,Stadtbezirk VII,Kray,,North Rhine-Westphalia,,Essen,Germany,de,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
